asset,fold,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
KO,3,Choquet 2-additive scaled-q L1,rolling_5y,7.679899139141726e-05,0.00876350337430284,0.006489031381538135,0.008502592514484871,-0.05758504155867161,0.13120146841432875,0.011180747107212088,0.03837389999534935,0.007528999994974583,30
KO,3,Elastic net,rolling_5y,2.7331878134762672e-05,0.005227989875158776,0.003770258493535133,0.004327178905557181,0.6236176419855961,0.7889169673246496,0.006063273629371302,0.033295099972747266,0.002173099957872182,8
KO,3,Lasso,rolling_5y,2.6553928365040548e-05,0.005153050394187946,0.0037159128199184556,0.004278800618320499,0.6343306477768946,0.7961085796486344,0.005995495034230319,0.014898099994752556,0.0021123000187799335,8
KO,3,Monotone linear,rolling_5y,3.0175744985178485e-05,0.0054932453964098935,0.003999044865047236,0.004479252626768316,0.5844552651536465,0.768034675690217,0.00659389251858881,0.005476200021803379,0.0029629000346176326,8
KO,3,OLS,rolling_5y,3.083782955721357e-05,0.00555318193085852,0.003947164685767289,0.004494725438131572,0.5753378180759584,0.7608200728814467,0.006562990648933724,0.0036421999684534967,0.002100700046867132,8
KO,3,OLS oriented,rolling_5y,3.083782955721357e-05,0.00555318193085852,0.003947164685767289,0.004494725438131572,0.5753378180759584,0.7608200728814467,0.006562990648933724,0.0047851999988779426,0.003372000006493181,8
KO,3,Ridge,rolling_5y,3.07658473042976e-05,0.005546696972460061,0.003942130660362834,0.004501066470908026,0.5763290726818115,0.7610937213589539,0.006523253038389339,0.014529199979733676,0.002105699968524277,8
KO,4,Choquet 1-additive,rolling_5y,3.291205352438964e-05,0.0057369027815006276,0.004516749611996537,0.0052836157950321965,0.49055557806223726,0.7004482523801999,0.005139272321421537,0.022808700043242425,0.01840609998907894,8
KO,4,Choquet 1-additive scaled-q,rolling_5y,8.875531036382596e-05,0.00942100368134022,0.007156408308745068,0.009081763813907648,-0.37384006588037955,-0.1329736987505811,0.0087642868700442,0.008319600019603968,0.005400800029747188,9
KO,4,Choquet 2-additive,rolling_5y,3.331946654583523e-05,0.005772301667951462,0.004548178696182975,0.005308179430284513,0.48424924743335507,0.6958500286667986,0.005122523642577076,0.06348279997473583,0.06865879998076707,29
KO,4,Choquet 2-additive L1,rolling_5y,3.229779035477322e-05,0.005683114494251653,0.004471578268937721,0.005260825623160976,0.500063734249787,0.7073916978784665,0.00512306997310876,0.23276079999050125,0.07838739996077493,29
KO,4,Choquet 2-additive scaled-q,rolling_5y,8.875531036382597e-05,0.00942100368134022,0.007156408308745069,0.009081763813907648,-0.37384006588037977,-0.13297369875058135,0.0087642868700442,0.00939029996516183,0.006680999998934567,30
KO,4,Choquet 2-additive scaled-q L1,rolling_5y,8.875531030382961e-05,0.009421003678156039,0.007156408279974189,0.009081763721800163,-0.3738400649516984,-0.13297370006584563,0.008764286841823673,0.03964729997096583,0.007534599979408085,30
KO,4,Elastic net,rolling_5y,3.197362217587713e-05,0.005654522276539118,0.00447519375419251,0.005160389166156387,0.5050815211340345,0.7118290004386764,0.005252944025700418,0.032993000000715256,0.002157699957024306,8
KO,4,Lasso,rolling_5y,3.250920143387067e-05,0.00570168408751929,0.004503519330451954,0.005223528652547186,0.4967913102151631,0.7052123630180419,0.00517597918108145,0.014776500000152737,0.002127300016582012,8
KO,4,Monotone linear,rolling_5y,3.19379913756608e-05,0.005651370751920352,0.004491590126431206,0.005098729180681333,0.5056330489323817,0.7162187967407082,0.005483929906243734,0.005383799958508462,0.0029349999967962503,8
KO,4,OLS,rolling_5y,3.053797730990517e-05,0.0055261177430367125,0.004361506117806049,0.005011128032721801,0.5273038132894301,0.7331698408552033,0.005541000131539028,0.003786400018725544,0.0020909999730065465,8
KO,4,OLS oriented,rolling_5y,3.053797730990517e-05,0.0055261177430367125,0.004361506117806049,0.005011128032721801,0.5273038132894301,0.7331698408552033,0.005541000131539028,0.005016000010073185,0.0030782000394538045,8
KO,4,Ridge,rolling_5y,3.046477220602794e-05,0.005519490212513103,0.004353206119778783,0.005009159938327549,0.5284369523018588,0.7331320684456256,0.0055374903706389865,0.014341100002638996,0.0021231999853625894,8
KO,5,Choquet 1-additive,rolling_5y,5.9140712776255085e-05,0.007690299914584286,0.0056177291178576534,0.0064093627564377345,0.5101526620787284,0.7154902381322178,0.00574789240360806,0.021030400006566197,0.01978079997934401,8
KO,5,Choquet 1-additive scaled-q,rolling_5y,0.0001618664754343486,0.012722675639752379,0.00969573324022888,0.012003775957797867,-0.34069845235361007,-0.2521522053778924,0.009396077378271172,0.007828000001609325,0.005291199951898307,9
KO,5,Choquet 2-additive,rolling_5y,5.989379466940237e-05,0.007739108131393589,0.005645261358354981,0.006394860167521711,0.5039150781322763,0.7116213005732913,0.00575345151583276,0.06610679998993874,0.06957560003502294,29
KO,5,Choquet 2-additive L1,rolling_5y,6.019116973012976e-05,0.007758296831787873,0.005668983728521473,0.006413491382761306,0.5014519968634963,0.7100316237836363,0.005640633585606084,0.23231029999442399,0.09207660000538453,29
KO,5,Choquet 2-additive scaled-q,rolling_5y,0.0001618664754343486,0.012722675639752379,0.00969573324022888,0.012003775957797867,-0.34069845235361007,-0.25215220537789235,0.00939607737827117,0.00914149999152869,0.006230500002857298,30
KO,5,Choquet 2-additive scaled-q L1,rolling_5y,0.00016186647545530676,0.012722675640576032,0.00969573323928474,0.012003775949503324,-0.34069845252720077,-0.2521522054182408,0.009396077373563249,0.03707600000780076,0.007390399987343699,30
