asset,model,first,second,interaction,interpretation
JPM,Choquet 1-additive scaled-q,market_excess_return,low_volatility_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,market_excess_return,momentum_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,market_excess_return,quality_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,market_excess_return,sector_excess_return,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,market_excess_return,size_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,market_excess_return,value_growth_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,momentum_spread,low_volatility_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,momentum_spread,quality_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,quality_spread,low_volatility_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,sector_excess_return,low_volatility_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,sector_excess_return,momentum_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,sector_excess_return,quality_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,sector_excess_return,size_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,sector_excess_return,value_growth_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,size_spread,low_volatility_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,size_spread,momentum_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,size_spread,quality_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,size_spread,value_growth_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,value_growth_spread,low_volatility_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,value_growth_spread,momentum_spread,9.25185853854297e-18,complementary
JPM,Choquet 1-additive scaled-q,value_growth_spread,quality_spread,9.25185853854297e-18,complementary
JPM,Choquet 2-additive,market_excess_return,low_volatility_spread,9.590299140840828e-18,complementary
